Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
MATA;0;0;0;5;2;0;0;0;3;1;0;0;0;0
MATO CASTELHANO;0;0;0;1;0;0;1;0;2;0;2;0;0;0
MATO LEITAO;0;0;0;3;0;0;0;0;0;0;1;0;0;0
MATO QUEIMADO;0;0;0;3;0;0;0;0;0;0;0;0;0;0
MAXIMILIANO DE ALMEIDA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
MINAS DO LEAO;0;0;0;5;2;0;0;0;2;2;0;0;0;0
MIRAGUAI;0;0;0;4;2;2;1;0;1;0;0;0;0;0
MONTAURI;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MONTE ALEGRE DOS CAMPOS;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MONTE BELO DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MONTENEGRO;0;0;0;38;1;4;5;0;45;0;45;13;0;0
MORMACO;0;0;0;1;0;0;0;0;1;0;0;0;0;0
MORRINHOS DO SUL;0;0;0;1;0;0;0;0;0;1;1;0;0;0
MORRO REDONDO;0;0;0;5;1;0;0;1;1;0;1;0;0;0
MORRO REUTER;0;0;0;1;0;0;0;0;1;0;2;0;0;0
MOSTARDAS;0;0;0;14;1;2;0;0;5;1;1;2;0;0
MUCUM;0;0;0;6;0;0;0;0;0;0;1;0;0;0
MUITOS CAPOES;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MULITERNO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
NAO-ME-TOQUE;0;0;0;6;0;0;0;0;16;2;2;9;0;0
NICOLAU VERGUEIRO;0;0;0;1;0;0;0;0;2;0;0;0;0;0
NONOAI;0;0;0;12;0;1;0;0;8;1;1;0;0;0
NOVA ALVORADA;0;0;0;1;1;0;2;0;1;0;0;0;0;0
NOVA ARACA;0;0;0;1;0;0;0;0;2;1;0;0;0;0
NOVA BASSANO;0;0;0;3;0;0;0;0;7;3;1;0;0;0
NOVA BOA VISTA;0;0;0;1;1;0;0;0;1;0;0;0;0;0
NOVA BRESCIA;0;0;0;0;0;0;0;0;1;0;1;0;0;0
NOVA CANDELARIA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
NOVA ESPERANCA DO SUL;0;0;0;0;0;0;0;0;2;0;1;0;0;0
NOVA HARTZ;0;0;0;12;0;2;1;0;9;1;5;1;0;0
NOVA PADUA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVA PALMA;0;0;0;5;2;0;0;0;2;0;0;0;0;0
NOVA PETROPOLIS;0;0;0;10;0;0;1;0;20;0;8;0;0;0
NOVA PRATA;0;0;0;9;0;0;1;1;22;1;4;1;0;0
NOVA RAMADA;0;0;0;0;0;0;0;0;3;1;0;0;0;0
NOVA ROMA DO SUL;0;0;0;3;0;0;0;0;0;0;0;0;0;0
NOVA SANTA RITA;3;3;0;25;1;2;1;0;20;2;0;2;0;0
NOVO BARREIRO;0;0;0;2;0;0;0;0;1;0;0;0;0;0
NOVO CABRAIS;0;0;0;5;0;0;0;0;0;0;0;0;0;0
NOVO HAMBURGO;3;3;1;226;1;26;71;18;139;5;44;24;1;0
NOVO MACHADO;1;1;0;2;1;0;0;0;0;0;0;0;0;0
NOVO TIRADENTES;0;0;0;2;2;0;0;0;0;1;0;0;0;0
NOVO XINGU;0;0;0;0;0;0;0;0;1;0;0;0;0;0
OSORIO;0;0;0;66;5;1;4;1;52;1;15;22;0;0
PAIM FILHO;0;0;0;2;1;2;0;0;3;0;0;0;0;0
PALMARES DO SUL;0;0;0;21;2;2;4;0;9;1;11;5;0;0
PALMEIRA DAS MISSOES;1;1;0;30;0;1;0;0;14;1;11;2;0;0
PALMITINHO;0;0;0;1;0;1;0;0;1;0;0;0;0;0
PANAMBI;0;0;0;21;0;7;3;0;17;2;2;1;0;0
PANTANO GRANDE;0;0;0;11;1;2;0;0;3;0;0;0;0;0
PARAI;0;0;0;11;1;0;0;0;3;0;0;1;0;0
PARAISO DO SUL;0;0;0;1;0;0;0;0;3;0;0;0;0;0
PARECI NOVO;0;0;0;0;0;0;0;0;3;0;0;0;0;0
PAROBE;1;1;0;41;0;6;5;3;39;1;9;3;0;0
PASSA SETE;0;0;0;2;0;1;0;0;1;0;0;0;0;0
PASSO DO SOBRADO;0;0;0;3;0;0;0;0;2;0;0;0;0;0
PASSO FUNDO;2;2;0;187;1;24;36;6;174;14;26;35;0;0
PAULO BENTO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PAVERAMA;0;0;0;4;0;0;0;0;3;1;2;0;0;0
PEDRAS ALTAS;0;0;0;1;1;0;0;0;0;0;0;0;0;0
PEDRO OSORIO;0;0;0;7;2;0;0;0;3;0;2;0;0;0
PEJUCARA;0;0;0;2;0;1;0;0;2;0;0;0;0;0
PELOTAS;1;1;0;280;4;14;99;3;238;14;11;51;0;0
PICADA CAFE;0;0;0;3;0;0;0;0;1;1;1;0;0;0
PINHAL;0;0;0;2;1;0;0;0;3;0;0;0;0;0
PINHAL DA SERRA;0;0;0;4;1;0;0;0;2;0;0;0;0;0
PINHAL GRANDE;0;0;0;2;1;0;0;0;1;0;0;0;0;0
PINHEIRINHO DO VALE;1;1;0;0;0;0;0;0;0;0;0;0;0;0
PINHEIRO MACHADO;0;0;0;4;2;0;0;0;10;0;0;0;0;0
PINTO BANDEIRA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PIRAPO;0;0;0;3;0;0;0;0;0;0;0;0;0;0
PIRATINI;0;0;0;15;2;1;0;0;6;0;1;0;0;0
PLANALTO;0;0;0;8;1;0;0;0;3;2;1;1;0;0
POCO DAS ANTAS;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PONTAO;0;0;0;1;0;0;0;0;1;0;1;0;0;0
PONTE PRETA;0;0;0;0;0;0;0;0;2;0;0;0;0;0
PORTAO;0;0;0;19;0;2;3;3;26;0;2;3;0;0
PORTO ALEGRE;25;26;0;1847;3;154;1218;161;1595;55;182;233;0;0
PORTO LUCENA;0;0;0;1;0;0;0;0;1;0;1;0;0;0
PORTO MAUA;0;0;0;5;0;0;0;0;0;1;1;0;0;0
PORTO VERA CRUZ;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PORTO XAVIER;0;0;0;2;0;1;0;0;0;3;1;1;0;0
POUSO NOVO;0;0;0;4;0;0;0;0;2;0;0;2;0;0
PRESIDENTE LUCENA;0;0;0;2;0;0;0;0;1;0;0;0;0;0
PROGRESSO;0;0;0;3;0;0;1;0;4;1;1;0;0;0
PROTASIO ALVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PUTINGA;0;0;0;1;0;0;0;0;0;1;1;0;0;0
QUARAI;0;0;0;32;7;2;2;0;7;1;2;3;0;0
QUATRO IRMAOS;0;0;0;1;1;0;0;0;1;1;0;0;0;0
QUEVEDOS;0;0;0;0;0;0;0;0;2;0;0;0;0;0
QUINZE DE NOVEMBRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
REDENTORA;0;0;0;5;1;0;0;0;3;0;0;0;0;0
RELVADO;0;0;0;2;1;0;0;0;1;0;0;0;0;0
RESTINGA SECA;0;0;0;11;3;0;3;0;8;1;0;1;0;0
RIO DOS INDIOS;1;1;0;4;0;0;0;1;1;0;0;0;0;0
RIO GRANDE;11;11;0;305;3;9;135;4;144;28;25;69;0;0
RIO PARDO;0;0;0;54;3;3;3;0;13;3;5;3;0;0
RIOZINHO;0;0;0;1;0;0;0;0;1;0;0;0;0;0
ROCA SALES;0;0;0;2;0;0;1;0;7;0;2;1;0;0
RODEIO BONITO;0;0;0;2;0;0;0;0;0;2;4;0;0;0
ROLADOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ROLANTE;1;1;0;13;1;0;2;0;17;2;7;5;0;0
RONDA ALTA;0;0;0;8;0;0;1;1;4;0;0;1;0;0
RONDINHA;0;0;0;6;0;0;0;0;0;0;0;0;0;0
ROQUE GONZALES;0;0;0;1;0;0;0;0;1;1;2;1;0;0
ROSARIO DO SUL;0;0;0;30;2;1;4;0;12;4;4;6;0;0
SAGRADA FAMILIA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
SALDANHA MARINHO;0;0;0;0;0;0;0;0;1;0;0;1;0;0
SALTO DO JACUI;0;0;0;13;2;1;0;0;5;0;1;0;0;0
SALVADOR DAS MISSOES;0;0;0;0;0;1;0;0;0;0;0;0;0;0
SALVADOR DO SUL;0;0;0;2;0;0;0;0;5;0;1;1;0;0
SANANDUVA;0;0;0;5;0;0;0;0;11;3;1;0;0;0
SANTA BARBARA DO SUL;0;0;0;5;1;0;0;0;2;2;2;1;0;0
SANTA CECILIA DO SUL;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SANTA CLARA DO SUL;0;0;0;1;0;0;0;0;4;0;0;0;0;0
SANTA CRUZ DO SUL;2;2;0;140;0;8;4;0;117;2;6;12;0;0
SANTA MARGARIDA DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SANTA MARIA;4;4;0;339;10;12;42;2;262;23;14;59;0;0
SANTA MARIA DO HERVAL;0;0;0;8;0;0;0;0;2;0;0;0;0;0
SANTA ROSA;1;1;0;111;1;1;6;0;40;1;16;12;0;0
SANTA TEREZA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
